City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Alta,NO,69.9689,23.2717,40.26,93,75,3.44,broken clouds
273,Mananara,MG,-16.1667,49.7667,64.92,92,21,4.05,few clouds
274,Necochea,AR,-38.5473,-58.7368,61.11,78,45,8.55,scattered clouds
275,Saint George,US,37.1041,-113.5841,73.87,31,1,4.0,clear sky
276,Waingapu,ID,-9.6567,120.2641,75.0,75,58,3.78,broken clouds
277,Fortuna,US,40.5982,-124.1573,70.48,69,86,8.01,overcast clouds
278,Vorozhba,UA,51.1733,34.2192,41.83,52,86,6.67,overcast clouds
279,Gorey,IE,52.6747,-6.2925,49.48,87,43,4.99,scattered clouds
280,Alibag,IN,18.6411,72.8792,80.67,84,72,2.3,broken clouds
281,Guerrero Negro,MX,27.9769,-114.0611,79.68,46,0,12.5,clear sky
282,Namatanai,PG,-3.6667,152.4333,80.92,77,24,3.31,few clouds
283,Upata,VE,8.0086,-62.3989,81.05,66,96,4.12,overcast clouds
284,Dunedin,NZ,-45.8742,170.5036,54.81,67,100,5.41,overcast clouds
285,Zeya,RU,53.75,127.2667,33.24,74,8,4.97,clear sky
286,Karratha,AU,-20.7377,116.8463,72.73,36,8,5.57,clear sky
287,Roma,US,43.2128,-75.4557,71.44,72,1,10.36,clear sky
288,Zapolyarnyy,RU,69.4154,30.8136,40.28,97,100,1.99,overcast clouds
289,Karnobat,BG,42.65,26.9833,55.24,80,100,5.84,overcast clouds
290,Jizan,SA,17.3333,42.6667,86.94,68,19,3.62,few clouds
291,Beyneu,KZ,45.3167,55.2,50.83,48,88,6.85,overcast clouds
292,Bobcaygeon,CA,44.5462,-78.542,67.64,70,100,8.41,overcast clouds
293,Cartagena Del Chaira,CO,1.3349,-74.8429,86.43,59,85,1.81,overcast clouds
294,Barberton,ZA,-25.7884,31.0532,55.94,79,95,2.89,overcast clouds
295,Fort Nelson,CA,58.8053,-122.7002,44.19,57,75,18.41,light rain
296,Padang,ID,-0.9492,100.3543,75.07,95,100,1.59,overcast clouds
297,Marawi,PH,7.9986,124.2928,68.65,95,93,7.02,overcast clouds
298,Port Alfred,ZA,-33.5906,26.891,60.24,70,17,24.7,few clouds
299,Mogadishu,SO,2.0371,45.3438,78.26,89,15,14.88,few clouds
300,Broken Hill,AU,-31.95,141.4333,44.31,81,46,9.22,scattered clouds
301,Garowe,SO,8.4054,48.4845,82.54,55,97,11.99,overcast clouds
302,Mwene-Ditu,CD,-7.0,23.45,70.63,75,92,3.62,overcast clouds
303,Pangnirtung,CA,66.1451,-65.7125,36.36,69,100,3.69,overcast clouds
304,Anajatuba,BR,-3.2644,-44.6197,82.89,70,99,7.45,overcast clouds
305,Semirom,IR,31.4167,51.5667,47.66,43,0,4.12,clear sky
306,Xuddur,SO,4.1213,43.8894,74.39,74,79,15.14,broken clouds
307,Labuhan,ID,-6.8844,112.2051,77.54,78,70,8.66,broken clouds
308,Georgetown,MY,5.4112,100.3354,78.89,84,20,1.01,few clouds
309,Troitskoye,RU,52.9821,84.6757,42.87,79,100,5.97,overcast clouds
310,Banda Aceh,ID,5.5577,95.3222,79.11,80,29,15.05,scattered clouds
311,Kota Kinabalu,MY,5.9749,116.0724,81.88,89,20,3.44,few clouds
312,Inhambane,MZ,-23.865,35.3833,68.9,62,10,16.53,clear sky
313,Hay River,CA,60.8156,-115.7999,39.18,75,75,16.11,broken clouds
314,Lerwick,GB,60.1545,-1.1494,48.2,81,15,24.47,few clouds
315,Dzhebariki-Khaya,RU,62.2167,135.8,28.11,79,100,4.03,overcast clouds
316,Ishigaki,JP,24.3448,124.1572,82.53,89,75,33.38,broken clouds
317,Teya,RU,60.3778,92.6267,24.87,83,100,7.34,overcast clouds
318,Huai Thalaeng,TH,14.997,102.6475,80.64,91,100,5.75,overcast clouds
319,Nelson Bay,AU,-32.7167,152.15,59.76,97,100,3.0,light rain
320,Wollongong,AU,-34.4333,150.8833,53.08,74,100,12.44,overcast clouds
321,Akyab,MM,20.15,92.9,80.73,87,100,4.25,overcast clouds
322,Baghmara,IN,23.795,86.2085,73.96,73,6,3.53,clear sky
323,Chany,RU,55.3121,76.7647,32.27,73,100,11.27,overcast clouds
324,Kazachinskoye,RU,57.6953,93.2761,33.71,91,100,5.23,overcast clouds
325,Bairiki,KI,1.3292,172.9752,82.4,74,20,5.75,few clouds
326,Kieta,PG,-6.2167,155.6333,80.49,81,92,4.0,overcast clouds
327,Buxar,IN,25.5833,83.9833,74.1,74,1,1.95,clear sky
328,Ajdabiya,LY,30.7554,20.2263,80.74,27,0,7.58,clear sky
329,Shitanjing,CN,39.2342,106.3439,39.06,47,0,9.19,clear sky
330,Berck,FR,50.4,1.6,57.51,94,0,8.05,clear sky
331,Tomatlan,MX,19.9333,-105.25,85.91,79,100,5.17,overcast clouds
332,Minot,US,48.2325,-101.2963,68.11,39,39,1.01,scattered clouds
333,East London,ZA,-33.0153,27.9116,59.86,70,17,17.9,few clouds
334,Dengzhou,CN,37.8086,120.7508,60.49,43,34,13.56,light rain
335,Ararat,AM,39.8317,44.7049,50.34,40,0,4.18,clear sky
336,Ahipara,NZ,-35.1667,173.1667,58.87,64,84,6.89,broken clouds
337,Ojinaga,MX,29.5667,-104.4167,94.15,16,1,23.02,clear sky
338,Progreso,MX,21.2833,-89.6667,95.11,67,58,12.19,broken clouds
339,Tateyama,JP,34.9833,139.8667,72.1,70,57,13.09,broken clouds
340,Mbandaka,CD,0.0487,18.2603,71.24,98,86,2.33,overcast clouds
341,Dorado,PR,18.4588,-66.2677,84.15,92,75,13.8,broken clouds
342,Carutapera,BR,-1.195,-46.02,80.94,76,63,8.12,broken clouds
343,Haapiti,PF,-17.5667,-149.8667,83.93,69,67,7.43,broken clouds
344,Sendhwa,IN,21.6833,75.1,77.32,70,19,1.25,few clouds
345,Bolgatanga,GH,10.7856,-0.8514,82.09,61,59,3.49,broken clouds
346,Kajaani,FI,64.2273,27.7285,48.25,93,90,6.91,overcast clouds
347,Rondonopolis,BR,-16.4708,-54.6356,85.01,59,100,4.88,overcast clouds
