City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
450,Novo Cruzeiro,BR,64.85,overcast clouds,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
451,Imbituba,BR,67.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
452,Puerto Del Rosario,ES,73.15,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
453,La Paz,BO,62.58,broken clouds,-16.5,-68.15,Hotel Sagarnaga
455,Dafeng,CN,68.4,overcast clouds,23.4517,108.5881,Shenglong Hotel
457,Santa Lucia,ES,65.52,few clouds,27.9117,-15.5407,Las Tirajanas
459,Eureka,US,65.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
460,Issia,CI,73.53,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
469,Saint-Joseph,RE,70.16,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
472,Sehithwa,BW,70.43,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
476,Vao,NC,69.78,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
480,Ngaoundere,CM,64.94,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
483,Areosa,PT,71.24,broken clouds,41.7178,-8.8571,Hotel Flôr de Sal
484,Ikot Ekpene,NG,73.29,overcast clouds,5.1794,7.7108,Four Points by Sheraton Ikot Ekpene
490,Zorritos,PE,71.89,scattered clouds,-3.6805,-80.6782,COSTA AZUL ZORRITOS MANGO
494,Vangaindrano,MG,68.95,broken clouds,-23.35,47.6,Hotel Fanilo
496,Antofagasta,CL,68.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
501,Tura,IN,73.76,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
508,Rantauprapat,ID,72.3,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
516,Goderich,CA,68.32,overcast clouds,43.7501,-81.7165,Harmony Inn
529,Singaraja,ID,74.97,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
531,Dharchula,IN,63.03,clear sky,29.85,80.5333,Mahara Hotel
541,Richards Bay,ZA,62.42,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
551,Staunton,US,69.08,overcast clouds,38.1496,-79.0717,Hotel 24 South
553,Muros,ES,63.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
557,Foumban,CM,63.5,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
558,Ferme-Neuve,CA,60.58,overcast clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
564,Broome,US,68.58,overcast clouds,42.2506,-75.833,Chenango Valley State Park
574,Cap Malheureux,MU,72.09,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
579,Rio Grande,BR,66.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
581,Mweka,CD,69.91,light rain,-4.85,21.5667,Guest House Boshab
585,Tambura,SS,71.04,overcast clouds,5.6,27.4667,Rikito Lodge
586,Grand Gaube,MU,72.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
589,Sao Joao Da Barra,BR,68.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
595,Sete,FR,61.9,clear sky,43.4018,3.6966,Hotel De Paris Sète
599,Rawson,AR,74.88,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
608,Port Moresby,PG,74.62,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
612,Dhanaura,IN,74.17,clear sky,28.9667,78.25,Pooja Sweets
615,Beira,MZ,71.58,light rain,-19.8436,34.8389,Beira Terrace Hotel
616,Luena,AO,72.86,scattered clouds,-11.7833,19.9167,Hotel Kandamba
622,Christchurch,NZ,60.03,overcast clouds,-43.5333,172.6333,The George
624,Puerto Rico,AR,72.27,scattered clouds,-26.796,-55.024,Hotel Cabañas del Prado
625,San Quintin,MX,73.11,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
627,Palmer,US,63.99,overcast clouds,42.1584,-72.3287,Wedgewood Motel
633,Nara,JP,72.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
638,Cairns,AU,71.55,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
640,Alyangula,AU,69.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
648,Pilibhit,IN,71.1,clear sky,28.6333,79.8,INDIAN WHITE HOUSE
668,Pimentel,PE,66.49,clear sky,-6.8367,-79.9342,Casona Del Muelle
670,Westport,US,66.34,overcast clouds,41.1415,-73.3579,The Westport Inn
671,Namanyere,TZ,72.3,broken clouds,-7.5167,31.05,Manyovu Lodge
673,Matagami,CA,60.91,overcast clouds,49.7502,-77.6328,Hôtel Matagami
674,Rumford,US,61.72,overcast clouds,44.5537,-70.5509,coastal rentals llc
675,Atambua,ID,73.11,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
679,Oyama,JP,73.58,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
683,Gat,IL,72.81,clear sky,31.61,34.7642,OlusHome
686,Newton,US,63.03,overcast clouds,42.337,-71.2092,Hotel Indigo Boston - Newton Riverside
692,Barcelos,PT,70.84,broken clouds,41.5388,-8.6151,Hotel Do Terço
693,Port Washington,US,67.64,broken clouds,40.8257,-73.6982,The Andrew Hotel
696,Kenora,CA,60.78,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
703,Gillette,US,61.03,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
